Subscriber_ID,Order_ID,Bad_Performance_Flag,Performance_Group,submissionDate,First_Name,MiddleAndSurName,Last_Name,Address1,Address2,City,State,Zip,Phone,Email_Address,SSN,DOB,IP,License_Number,License_State,initialDecision,finalDecision,manualReviewMethod,fraudType,fraudReportDate,suspectedFraud,confirmedFraud,fraudManualReview,fraudLossAmount,applicationChannel,accountType,lineofBusiness,deviceOS,deviceType,deviceInterface,accountBooked,Subscribers_Age_At_Pickup,Total_Orders,Non-Cancelled_Orders,Non-Rejected_Cancelled_Orders,Rejected_Cancelled_Orders,Orders_Total_Cancelled_Orders,Default,Repo_Total,Repo_Under_1_Month,Repo_Over_1_Month,Chargeback,Chargeback_$,Accident
2Gd801964-3321-4020-8419-e1bc9b3b4319,1725957b0-3852-40b5-a3af-b822a6ec3de3,1,5_Rejected,2022-11-11,,Bob Billy Boberto,Boberto,123 Bob St,Apt 9,Bobville,GA,30062,+912222222222,bob.erto+yoyo623@onefootprint.com,,1993-01-01,,SA1234567,GA,,,Full,,,,,yes,,,,Flexcar Bobville,,,,yes,87.0,1,0,0,0,0,0,0,0,0,0,3989.74,0
2Hd801964-3321-4020-8419-e1bc9b3b4319,1825957b0-3852-40b5-a3af-b822a6ec3de3,1,5_Rejected,2022-11-11,,Bob Bob,Bob,123 Bob St,Apt 9,Bobville,GA,30062,+912222222222,bob.erto+yoyo623@onefootprint.com,,1993-01-01,,SA1234567,GA,,,Full,,,,,yes,,,,Flexcar Bobville,,,,yes,87.0,1,0,0,0,0,0,0,0,0,0,3989.74,0
2d801964-3321-4020-8419-e1bc9b3b4319,1925957b0-3852-40b5-a3af-b822a6ec3de3,1,5_Rejected,2022-11-11,Piip,Piipster Penguin,Penguin,123 Bob St,Apt 9,Bobville,GA,30062,+912222222222,bob.erto+yoyo623@onefootprint.com,,1993-01-01,,SA1234567,GA,,,Full,,,,,yes,,,,Flexcar Bobville,,,,yes,87.0,1,0,0,0,0,0,0,0,0,0,3989.74,0
5068e22d-b099-4d1a-94d2-6b26c021f20c,a665f281-d315-43e2-b1fa-239cd09f9eff,0,7_NoLicense,2022-11-11,Piip,Piipster Penguin,Penguin,123 Bob St,,Bobville,GA,02170,+912222222222,bob.erto+yoyo623@onefootprint.com,,1993-01-01,123.45.67.89,,GA,,,Full,,,,,yes,,Mobile,,Flexcar Bobville,iOS,Mobile,Safari,yes,51.0,1,0,0,0,0,0,0,0,0,0,0.6,0
8953d044-41d4-4d07-a9fd-390a24d1e3dd,2acdb186-232d-4a8a-a868-68de60263ee1,0,8_NoAddress,2022-11-11,Piip,Piipster Penguin,Penguin,123 Bob St,,Bobville,GA,02170,+2672222222,bob.erto+yoyo623@onefootprint.com,,1993-01-01,,SA1234567,GA,,,Full,,,,,yes,,,,Flexcar Bobville,,,,yes,62.0,1,1,0,0,0,0,1,0,1,0,3753.71,0
7bba502d-28b0-494c-9d14-56a555ff3c37,7f10994c-1850-4f6b-8577-ad4880e349bd,0,2_Default,2022-11-11,Piip,Piipster Penguin,Penguin,123 Bob St,,Bobville,GA,30062,+8612222222222,bob.erto+yoyo623@onefootprint.com,,1993-01-01,123.45.67.89,SA1234567,GA,,,Full,,,,,yes,,Mobile,,Flexcar Bobville,iOS,Mobile,Mobile App,yes,49.0,1,1,0,1,0,1,0,0,0,0,3150.3,0
7b3031b8-c01d-4a2b-9e17-d9695e514c72,8df2cc75-4405-42b0-b2ee-0735d5e79bb6,1,1_Repo,2022-11-11,Piip,Piipster Penguin,Penguin,123 Bob St,Apt 9,Bobville,GA,30062,+8612222222222,bob.erto+yoyo623@onefootprint.com,,1993-01-01,123.45.67.89,SA1234567,GA,,,Full,,,,,yes,,Mobile,,Flexcar Bobville,iOS,Mobile,Mobile App,yes,29.0,1,1,0,0,0,0,0,0,0,0,346.57,0
bbf66656-56f4-4caf-bcf9-963f9fb3baba,76c9daa9-a73f-4fc2-937d-ad05c0613d8b,0,10_CleanPII,2022-11-11,Piip,Piipster Penguin,Penguin,123 Bob St,,Bobville,GA,30062,+2672222222,bob.erto+yoyo623@onefootprint.com,,1993-01-01,,,GA,,,Full,,,,,yes,,,,Flexcar Bobville,,,,yes,25.0,1,0,0,1,0,0,0,0,0,0,3385.64,0
3c81bd4d-8178-41f8-9a00-0bd1212beb88,6fb213e2-b953-4a77-aa61-43670019e40f,0,2_Default,2022-11-11,Piip,Piipster Penguin,Penguin,123 Bob St,Apt 9,Bobville,GA,30062,+2672222222,bob.erto+yoyo623@onefootprint.com,,1993-01-01,123.45.67.89,,GA,,,Full,,,,,yes,,Mobile,,Flexcar Bobville,OS X,Mobile,Mobile App,yes,41.0,1,0,1,0,0,0,0,0,0,0,463.54,0
9c3bcb09-0813-4245-8da7-21027b131a09,4fa0b497-52ae-4be5-89b7-1f241b64197f,0,5_Rejected,2022-11-11,Piip,Piipster Penguin,Penguin,,,,,,+8612222222222,bob.erto+yoyo623@onefootprint.com,,1993-01-01,,SA1234567,GA,,,Full,,,,,yes,,,,Flexcar Bobville,,,,yes,31.0,1,1,0,0,1,0,0,0,0,0,2502.79,0
13634b31-7330-4e6c-bc52-be9f6834802e,786fffe8-d1c0-400b-9c21-9e4f349cff44,0,5_Rejected,2022-11-11,Piip,Piipster Penguin,Penguin,123 Bob St,,Bobville,GA,02170,+2672222222,bob.erto+yoyo623@onefootprint.com,,,,SA1234567,GA,,,Full,,,,,yes,,,,Flexcar Bobville,,,,no,,1,1,0,0,1,0,0,0,0,0,1687.57,0
58179f4e-2185-4a07-b6b3-ab4c80cf1db9,6a982f97-fc02-47eb-90e9-f6e9560559af,0,8_NoAddress,2022-11-11,,Piipster Penguin,Penguin,123 Bob St,,Bobville,GA,30062,+912222222222,bob.erto+yoyo623@onefootprint.com,,1993-01-01,,SA1234567,GA,,,Full,,,,,yes,,,,Flexcar Bobville,,,,yes,72.0,1,1,0,0,0,0,0,0,0,0,3362.5,0
8e5f6a6b-97eb-4354-a45e-04ed42884e40,d40bcc25-929d-48ac-ab3a-63e71fccce8c,0,2_Default,2022-11-11,,Piipster Penguin,Penguin,123 Bob St,,Bobville,GA,30062,+8612222222222,bob.erto+yoyo623@onefootprint.com,,1993-01-01,123.45.67.89,SA1234567,GA,,,Full,,,,,yes,,Mobile,,Flexcar Bobville,iOS,Desktop,Safari,no,55.0,1,1,0,0,0,0,0,0,0,0,2037.19,0
77e7bb17-4209-4387-89dd-c028cb1686c0,12ac4aaa-ddeb-42de-a8a3-484ecaac6648,0,9_NoIP,2022-11-11,Piip,Piipster Penguin,Penguin,,,Bobville,GA,30062,+15555550100,bob.erto+yoyo623@onefootprint.com,,1993-01-01,123.45.67.89,SA1234567,GA,,,Full,,,,,yes,,Mobile,,Flexcar Bobville,OS X,Mobile,Safari,yes,93.0,1,1,0,0,0,0,0,0,0,0,900.09,0
80b40fc1-1f91-47e5-a13c-806fa23e1a4e,ede2d2d7-2b7a-4097-8b4c-20dca3daf21a,1,2_Default,2022-11-11,Piip,Piipster Penguin,Penguin,,,,,,+2672222222,bob.erto+yoyo623@onefootprint.com,,1993-01-01,123.45.67.89,,GA,,,Full,,,,,yes,,Desktop,,Flexcar Bobville,iOS,Desktop,Chrome,yes,26.0,1,1,0,0,1,0,0,0,0,0,4006.92,0
36496c1d-c018-47c5-8fc5-b7b4f55517d5,3c019325-f903-4130-8c7d-d12a70d63a64,0,5_Rejected,2022-11-11,Piip,Piipster Penguin,Penguin,,,Bobville,GA,02170,+2672222222,bob.erto+yoyo623@onefootprint.com,,1993-01-01,,SA1234567,GA,,,Full,,,,,yes,,,,Flexcar Bobville,,,,no,37.0,1,1,0,0,1,0,0,1,0,0,111.47,0
0c13a721-bc15-4cea-befa-e075ba85d778,a04fd49e-3c1e-4e53-9127-c0eba8a179f7,0,9_NoIP,2022-11-11,Piip,Piipster Penguin,Penguin,123 Bob St,Apt 9,Bobville,GA,30062,+2672222222,bob.erto+yoyo623@onefootprint.com,,1993-01-01,,,GA,,,Full,,,,,yes,,,,Flexcar Bobville,,,,no,57.0,1,1,0,1,0,0,1,0,0,0,2368.97,0
78f4db2f-94f4-4176-960c-ca9f3d6e123b,52fa18c2-6002-4c7e-8347-79134d15e3e0,1,1_Repo,2022-11-11,Piip,Piipster Penguin,Penguin,,,,,,+912222222222,bob.erto+yoyo623@onefootprint.com,,,,SA1234567,GA,,,Full,,,,,yes,,,,Flexcar Bobville,,,,no,,1,1,0,0,0,1,0,0,0,0,2976.7,1
1bc7b826-b64e-44c9-b456-783244202671,2db49270-1fb0-49d6-8b4f-4ce29d1070fc,0,2_Default,2022-11-11,Piip,Piipster Penguin,Penguin,123 Bob St,Apt 9,Bobville,GA,02170,+8612222222222,bob.erto+yoyo623@onefootprint.com,,,,SA1234567,GA,,,Full,,,,,yes,,,,Flexcar Bobville,,,,yes,,1,0,0,0,1,0,0,0,0,0,1926.57,0
e7ea9952-8a3e-40c8-8cc1-95ef7adc4a39,3545d7ba-6826-4536-84a7-cc843397c094,1,6_Cancelled,2022-11-11,Piip,Piipster Penguin,Penguin,123 Bob St,Apt 9,Bobville,GA,30062,+912222222222,bob.erto+yoyo623@onefootprint.com,,,,,GA,,,Full,,,,,yes,,,,Flexcar Bobville,,,,yes,,1,0,0,0,1,0,0,0,0,0,2504.93,0
60479da8-035b-4852-924d-b5cac3a38786,4add38bd-854f-488d-a550-b497fe763395,1,7_NoLicense,2022-11-11,Piip,Piipster Penguin,Penguin,,,,,,+8612222222222,bob.erto+yoyo623@onefootprint.com,,1993-01-01,,,GA,,,Full,,,,,yes,,,,Flexcar Bobville,,,,yes,44.0,1,0,0,0,0,1,0,0,0,0,4711.04,0
24bde18f-98cb-44a5-aef9-e5860f825b7e,70e768dd-95c3-4d23-8c7f-5705cac3ebfa,1,1_Repo,2022-11-11,Piip,Piipster Penguin,Penguin,123 Bob St,,Bobville,GA,30062,+912222222222,bob.erto+yoyo623@onefootprint.com,,,123.45.67.89,SA1234567,GA,,,Full,,,,,yes,,Mobile,,Flexcar Bobville,iOS,Mobile,Mobile App,yes,,1,0,0,1,1,0,0,0,0,0,144.93,0
15b35c0f-6da9-4e1e-83f6-cbe69b9cc3db,c0afc3e5-ab5b-4c46-a2df-2e70c80e912c,0,10_CleanPII,2022-11-11,Piip,Piipster Penguin,Penguin,,,,GA,02170,+912222222222,bob.erto+yoyo623@onefootprint.com,,1993-01-01,,SA1234567,GA,,,Full,,,,,yes,,,,Flexcar Bobville,,,,yes,35.0,1,1,0,0,1,0,0,0,0,0,3899.53,0
f87ea390-6134-4e20-9eeb-a9a67fc84ad4,c543f662-afc6-4b0b-b616-96bf1ea383df,0,5_Rejected,2022-11-11,,Piipster Penguin,Penguin,,,,,,+8612222222222,bob.erto+yoyo623@onefootprint.com,,1993-01-01,,SA1234567,GA,,,Full,,,,,yes,,,,Flexcar Bobville,,,,no,13.0,1,1,0,0,0,0,0,0,1,0,970.19,0
c9e1fcbf-ff0c-46ba-b986-7e45db4a2290,99b5870c-2f91-4ebd-be16-b82147666017,0,5_Rejected,2022-11-11,Piip,Piipster Penguin,Penguin,,,Bobville,GA,02170,+912222222222,bob.erto+yoyo623@onefootprint.com,,1993-01-01,123.45.67.89,,GA,,,Full,,,,,yes,,Mobile,,Flexcar Bobville,iOS,Mobile,Safari,no,85.0,1,0,0,0,0,0,0,0,0,0,3250.5,0
,56b143e7-f573-49f3-b089-62ec2516aa81,1,5_Rejected,,Piip,Piipster Penguin,Penguin,,,,,02170,+8612222222222,bob.erto+yoyo623@onefootprint.com,,1993-01-01,,,GA,,,Full,,,,,yes,,,,Flexcar Bobville,,,,no,43.0,1,1,0,0,0,,,,,,,1
169a8857-014f-4177-91fc-d89c72d1ee77,4ec7d5ac-713a-4d9d-9d11-47e67526d009,0,5_Rejected,2022-11-11,Piip,Piipster Penguin,Penguin,123 Bob St,,Bobville,GA,30062,+2672222222,bob.erto+yoyo623@onefootprint.com,,1993-01-01,123.45.67.89,,GA,,,Full,,,,,yes,4281.85,Mobile,,Flexcar Bobville,Windows,Mobile,Microsoft Edge,yes,97.0,1,1,0,0,0,0,0,0,0,0,3653.45,0
4453fcd9-a36f-4022-8b0d-fee2d283daf8,17a792f7-25b4-4333-b19f-b4f39d95fab4,1,5_Rejected,2022-11-11,Piip,Piipster Penguin,Penguin,123 Bob St,,Bobville,GA,02170,+8612222222222,bob.erto+yoyo623@onefootprint.com,,,123.45.67.89,,GA,,,Full,,,,,yes,,Desktop,,Flexcar Bobville,iOS,Desktop,Mobile App,no,,1,0,0,0,0,0,0,0,0,0,204.56,0
5d364fa7-395a-490e-b9fd-c1b2dac28efd,6549cdbd-b892-4d05-865f-e45a93bca2ad,0,6_Cancelled,2022-11-11,Piip,Piipster Penguin,Penguin,123 Bob St,,Bobville,GA,30062,+15555550100,bob.erto+yoyo623@onefootprint.com,,1993-01-01,123.45.67.89,SA1234567,GA,,,Full,,,,,yes,4974.11,Mobile,,Flexcar Bobville,iOS,Mobile,Mobile App,yes,25.0,1,0,0,0,1,0,0,0,0,0,1749.17,0
8714b0aa-96c6-40c5-b0ea-18e8963effd6,4042b4e3-ff0b-4cfc-a1f1-0939b9df1f35,0,10_CleanPII,2022-11-11,Piip,Piipster Penguin,Penguin,123 Bob St,,Bobville,GA,02170,+2672222222,bob.erto+yoyo623@onefootprint.com,,1993-01-01,,SA1234567,GA,,,Full,,,,,yes,1847.09,,,Flexcar Bobville,,,,yes,38.0,1,1,0,1,1,0,0,0,0,0,2920.02,0
b695ac11-9b9f-460d-b752-9b0c399ddb8f,e2b26227-042a-4fb8-8a1d-92b02026cab8,1,5_Rejected,2022-11-11,Piip,Piipster Penguin,Penguin,,,,,,+15555550100,bob.erto+yoyo623@onefootprint.com,,1993-01-01,123.45.67.89,SA1234567,GA,,,Full,,,,,yes,,Desktop,,Flexcar Bobville,iOS,Desktop,Mobile App,yes,17.0,1,1,0,0,0,0,0,0,0,0,2825.41,0
6bf527ab-42db-4681-b4d9-2639615b8678,36fd7edf-8dbd-4787-a136-36d217256e50,1,9_NoIP,2022-11-11,Piip,Piipster Penguin,Penguin,123 Bob St,Apt 9,Bobville,GA,02170,+8612222222222,bob.erto+yoyo623@onefootprint.com,,1993-01-01,,SA1234567,GA,,,Full,,,,,yes,1941.14,,,Flexcar Bobville,,,,no,66.0,1,1,0,0,0,0,0,0,0,0,3942.13,0
f9ec6957-f78b-4cc4-89d7-31e3c3f03ccc,766d8ac7-2af8-4f11-a926-8a5ab2add631,0,6_Cancelled,2022-11-11,Piip,Piipster Penguin,Penguin,123 Bob St,Apt 9,Bobville,GA,30062,+2672222222,bob.erto+yoyo623@onefootprint.com,,1993-01-01,123.45.67.89,SA1234567,GA,,,Full,,,,,yes,1503.74,Desktop,,Flexcar Bobville,OS X,Mobile,Mobile App,yes,88.0,1,0,0,1,1,0,0,0,0,0,1013.45,0
f3ec3426-ef40-45c3-b1a4-f00f67da8b6c,583170f7-2a22-4a5b-99be-a118ff789163,0,5_Rejected,2022-11-11,Piip,Piipster Penguin,Penguin,123 Bob St,Apt 9,Bobville,GA,30062,+8612222222222,bob.erto+yoyo623@onefootprint.com,,1993-01-01,123.45.67.89,,GA,,,Full,,,,,yes,1106.31,Desktop,,Flexcar Bobville,iOS,Mobile,Mobile App,no,85.0,1,1,0,0,1,0,0,0,0,0,4363.16,1
1b815756-8eb4-4120-8635-dc789cf30c87,3d9a66ce-986f-4d3d-bfcb-7479a81a56d3,0,5_Rejected,2022-11-11,,Piipster Penguin,Penguin,123 Bob St,,Bobville,GA,30062,+2672222222,bob.erto+yoyo623@onefootprint.com,,,,SA1234567,GA,,,Full,,,,,yes,,,,Flexcar Bobville,,,,yes,,1,0,0,1,1,0,0,0,0,0,3484.29,0
acc18bc8-cd1e-40a1-89b5-704ad562488a,2382d7b1-8ef0-4d96-831e-56ca7f13cbb1,0,3_Accident,2022-11-11,Piip,Piipster Penguin,Penguin,,,,,,+15555550100,bob.erto+yoyo623@onefootprint.com,,1993-01-01,,SA1234567,GA,,,Full,,,,,yes,3556.31,,,Flexcar Bobville,,,,no,45.0,1,0,0,0,0,0,0,0,0,0,403.7,0
5be5ad81-5cc4-4ca3-8176-d2a17bf23b85,59f5c707-4db4-4e76-9083-169665025c7e,1,5_Rejected,2022-11-11,Piip,Piipster Penguin,Penguin,123 Bob St,Apt 9,Bobville,GA,30062,+15555550100,bob.erto+yoyo623@onefootprint.com,,1993-01-01,,,GA,,,Full,,,,,yes,4281.48,,,Flexcar Bobville,,,,yes,80.0,1,0,0,1,0,0,0,0,0,0,2158.79,0
2abad547-aee0-471b-b68c-929b9a3866a1,633cbd5e-8398-406a-9417-76d40c09d417,0,6_Cancelled,2022-11-11,Piip,Piipster Penguin,Penguin,123 Bob St,,Bobville,GA,30062,+8612222222222,bob.erto+yoyo623@onefootprint.com,,1993-01-01,,,GA,,,Full,,,,,yes,724.22,,,Flexcar Bobville,,,,no,93.0,1,1,0,0,0,1,0,0,0,0,3751.74,0
c4392dbc-b4c3-47e7-9b27-f365d1b8624a,d54e08e0-4bda-4e8a-a674-c91f69aa0d82,0,2_Default,2022-11-11,,Piipster Penguin,Penguin,123 Bob St,,Bobville,GA,30062,+15555550100,bob.erto+yoyo623@onefootprint.com,,1993-01-01,,SA1234567,GA,,,Full,,,,,yes,1783.98,,,Flexcar Bobville,,,,yes,27.0,1,1,0,0,1,0,0,0,0,0,684.88,0
0f77cdc2-c997-4ca0-8f4a-ff9ca1e13ed1,5af8700f-56e6-43fd-a2bb-22ac816f94a1,1,9_NoIP,2022-11-11,Piip,Piipster Penguin,Penguin,,,,,,+8612222222222,bob.erto+yoyo623@onefootprint.com,,1993-01-01,123.45.67.89,,GA,,,Full,,,,,yes,2125.78,Mobile,,Flexcar Bobville,iOS,Mobile,Chrome,no,87.0,1,1,0,1,0,0,0,0,1,0,3657.01,0
7f0fa10f-6a0a-4308-9791-09f857feed38,6b1ae8a5-e30a-4721-8cf8-5ec68f717deb,0,8_NoAddress,2022-11-11,Piip,Piipster Penguin,Penguin,123 Bob St,Apt 9,Bobville,GA,30062,+15555550100,bob.erto+yoyo623@onefootprint.com,,,123.45.67.89,SA1234567,GA,,,Full,,,,,yes,,Mobile,,Flexcar Bobville,iOS,Desktop,Safari,yes,,1,0,0,0,0,0,0,0,0,0,2225.62,0
93bc7948-4c24-4d4c-a148-131aeb22508f,125f617a-1af2-4b2b-b4a9-c76015934f4e,1,2_Default,2022-11-11,,Piipster Penguin,Penguin,123 Bob St,Apt 9,Bobville,GA,02170,+8612222222222,bob.erto+yoyo623@onefootprint.com,,1993-01-01,,SA1234567,GA,,,Full,,,,,yes,,,,Flexcar Bobville,,,,yes,72.0,1,1,0,0,0,0,0,1,0,0,2457.23,0
e855439b-1a5d-4496-8fc9-613c1e1cd622,e2e7851d-f1b8-482e-b016-3a81b44b03b4,0,5_Rejected,2022-11-11,Piip,Piipster Penguin,Penguin,,,,,30062,+912222222222,bob.erto+yoyo623@onefootprint.com,,1993-01-01,123.45.67.89,,GA,,,Full,,,,,yes,,Mobile,,Flexcar Bobville,Android,Desktop,Mobile App,no,67.0,1,0,0,1,1,1,1,0,0,0,3172.76,0
d23fc164-e171-48c5-9038-3771e9bad067,88f4400c-510c-4548-87c3-f148ff334f3a,0,10_CleanPII,2022-11-11,Piip,Piipster Penguin,Penguin,123 Bob St,,Bobville,GA,30062,+912222222222,bob.erto+yoyo623@onefootprint.com,,,,,GA,,,Full,,,,,yes,,,,Flexcar Bobville,,,,yes,,1,1,0,0,0,0,0,0,0,0,640.36,0
c5592803-afed-41e7-bb7c-a25bdd7631f7,e0ebebe2-ce99-44d9-a431-bfbd0904aa5f,0,10_CleanPII,2022-11-11,Piip,Piipster Penguin,Penguin,123 Bob St,Apt 9,Bobville,GA,30062,+2672222222,bob.erto+yoyo623@onefootprint.com,,,123.45.67.89,,GA,,,Full,,,,,yes,,Mobile,,Flexcar Bobville,iOS,Mobile,Mobile App,no,,1,0,1,0,0,1,0,0,1,0,3653.54,0
c5e378ff-1b07-4244-be47-4c71e7a97311,8d3f03be-70c9-4d78-9116-a8d1cbf8dfbb,0,6_Cancelled,2022-11-11,Piip,Piipster Penguin,Penguin,,,Bobville,GA,30062,+912222222222,bob.erto+yoyo623@onefootprint.com,,,,SA1234567,GA,,,Full,,,,,yes,,,,Flexcar Bobville,,,,yes,,1,1,0,1,1,1,0,0,0,0,4672.91,0
49a4e802-c844-4456-9dc6-e358206ac6f9,b0232f6e-8a68-4155-955f-460973656493,1,2_Default,2022-11-11,Piip,Piipster Penguin,Penguin,,,Bobville,GA,30062,+2672222222,bob.erto+yoyo623@onefootprint.com,,1993-01-01,,SA1234567,GA,,,Full,,,,,yes,788.26,,,Flexcar Bobville,,,,yes,27.0,1,1,0,0,1,0,0,0,0,0,3175.73,0
a28bd736-513b-497d-b6b2-fc1d7b0d0e6c,566fdc91-a5d5-4b63-b271-c504a636555c,0,7_NoLicense,2022-11-11,Piip,Piipster Penguin,Penguin,123 Bob St,Apt 9,Bobville,GA,30062,+2672222222,bob.erto+yoyo623@onefootprint.com,,1993-01-01,123.45.67.89,SA1234567,GA,,,Full,,,,,yes,2085.24,Mobile,,Flexcar Bobville,iOS,Desktop,Mobile App,yes,28.0,1,1,0,0,0,0,0,0,0,0,4690.39,0
94b18db1-b180-4d9a-948a-0355bb337ee3,8aa29a01-16f6-48f8-b171-239d505fd49a,1,7_NoLicense,2022-11-11,Piip,Piipster Penguin,Penguin,123 Bob St,Apt 9,Bobville,GA,02170,+8612222222222,bob.erto+yoyo623@onefootprint.com,,1993-01-01,123.45.67.89,SA1234567,GA,,,Full,,,,,yes,4223.31,Desktop,,Flexcar Bobville,iOS,Mobile,Mobile App,yes,73.0,1,1,0,0,0,0,0,0,0,0,1155.7,0
ba6a78b5-99f6-4a78-bd51-d0a8d2acd0ad,d7d117b5-33c4-4499-ad04-ec3c96161b78,0,2_Default,2022-11-11,Piip,Piipster Penguin,Penguin,123 Bob St,Apt 9,Bobville,GA,02170,+15555550100,bob.erto+yoyo623@onefootprint.com,,1993-01-01,123.45.67.89,SA1234567,GA,,,Full,,,,,yes,4829.83,Mobile,,Flexcar Bobville,iOS,Mobile,Safari,yes,35.0,1,1,0,0,0,1,0,0,0,0,4456.75,0
466d13e8-4391-46d2-b77e-dfd3814d8d4b,29fb6224-83c8-4774-b2ad-b459645b4a45,0,2_Default,2022-11-11,Piip,Piipster Penguin,Penguin,123 Bob St,Apt 9,Bobville,GA,02170,+15555550100,bob.erto+yoyo623@onefootprint.com,,1993-01-01,123.45.67.89,SA1234567,GA,,,Full,,,,,yes,1304.69,Mobile,,Flexcar Bobville,iOS,Mobile,Safari,no,79.0,1,0,0,1,1,0,0,0,0,0,808.88,0
